Title: Project Name,Blog Slug,Collections,Events,Funder(s),Initial Review of Data Complete,Notes/Comments re This Page Content (REVIEW ),Output: Project URL,Outputs,Outputs: Other,Project,Project Description (Internal Use),Project Description (Public),Project Partners,Project Status,Project Tag(s),Project Team,Related Blog,Resource,SBD www Status,SOW Project Dates,Slug (for SBD www),Team Directory,Topics,Who to Check Data
"CDR Disinfo (Link, Waterbear)",,,,https://www.notion.so/03322b01dba64c9d91b895e690f107bc,No,,,,,"Reset Tech | CDR Disinfo (Link, Waterbear) (https://www.notion.so/Reset-Tech-CDR-Disinfo-Link-Waterbear-53cbef295b89470c8587cd69471cbe9d?pvs=21)","CDR Link PGP Extension.  Successful integration into Zammad, either via the creation of a PGP extension or directly adding it to the Zammad codebase",,"https://www.notion.so/1f468602279a4c089bd22cb1098ebae6, https://www.notion.so/3623745bf1ea4624b0dcb09e6ab1c657",complete,,"cade-diehm,georgia-bullen",,,Publish,"February 1, 2021 → July 31, 2021",,"Cade Diehm (https://www.notion.so/Cade-Diehm-e9fc196bad464125b31385a502269719?pvs=21), Georgia Bullen (https://www.notion.so/Georgia-Bullen-bcb6dbebf05e4b56bd023decec5af79d?pvs=21)",,
Human Rights Watch (HRW) Gnosis (Knowledge Base),,,,https://www.notion.so/305432b17e044b78b22ed70bd7da4492,No,,,,,Human Rights Watch | Gnosis Knowledge Base (https://www.notion.so/Human-Rights-Watch-Gnosis-Knowledge-Base-cca43c1398d44bc887d2bf105944243e?pvs=21),"Worked with the HRW security team to understand how Gnosis was working and supported the security team as content creators. Conducted security team interviews, to better understand their needs, what the tool did and identified challenges and opportunities around Gnosis’ usability and system design.",,,complete,,"ame-elliott,georgia-bullen,kelsey-smith",,,Publish,"July 1, 2020 → September 30, 2021",,"Ame Elliott (https://www.notion.so/Ame-Elliott-11293d3c60b44cf294907c80c1d930a1?pvs=21), Georgia Bullen (https://www.notion.so/Georgia-Bullen-bcb6dbebf05e4b56bd023decec5af79d?pvs=21), Kelsey Smith (https://www.notion.so/Kelsey-Smith-d374a3509f184ae8beaa75ecaba2f6e1?pvs=21)",,Ame Elliott
Tor Metrics,,,,https://www.notion.so/3420d613e1304e67a2f4b8dd8c98005d,No,"Project dates taken from the invoice sent to Ramy 23 Dec 21

Marked as a Current project but there’s an end date",,,,OTF Usability Lab 1 | Tor Metrics Design (https://www.notion.so/OTF-Usability-Lab-1-Tor-Metrics-Design-fba2070d54a640529ef872dbadea17c5?pvs=21),"Creating a clear and usable Tor Metrics interface for sharing, finding and exploring data to address a user need.",,https://www.notion.so/00f814e7e6cf4ad0ab237f8bb3b0f417,complete,"https://www.notion.so/3ad7b6c3cabc44bd958be8a3051f7fe4, https://www.notion.so/ac4eef262e9b456297eb5571e1afa995","georgia-bullen,susan-kennedy",,,Publish,"January 1, 2018 → November 30, 2021",,"Georgia Bullen (https://www.notion.so/Georgia-Bullen-bcb6dbebf05e4b56bd023decec5af79d?pvs=21), Susan Kennedy (https://www.notion.so/Susan-Kennedy-f196be37d0c346008a09170099db006a?pvs=21)",,
Scuttlebutt/LA/dat DRL,,,,,No,,,,,,,,,,,,,,Publish,,,,,
Awala,https://simplysecure.org/blog/bringing-the-offline-online-reviewing-the-developer-experience-of-awala/,,,https://www.notion.so/3420d613e1304e67a2f4b8dd8c98005d,No,I added an end date of Nov 16 2021 ie invoice date,https://awala.network/,Awala Network Website (https://www.notion.so/Awala-Network-Website-594ece6b2e00447eb489ecd7afea7822?pvs=21),https://awala.network/,"OTF Usability Lab 1 | Awala Review, Interviews & Testing (https://www.notion.so/OTF-Usability-Lab-1-Awala-Review-Interviews-Testing-4efaac4b04f942d2916966d6a88acab8?pvs=21)","Expert review and delivery of a report and recommendations of Awala’s apps to ensure they are as intuitive as they can be, making sure the user interfaces are safe for non-technical users (many of whom may be at risk).",,,complete,"https://www.notion.so/3ad7b6c3cabc44bd958be8a3051f7fe4, https://www.notion.so/42469678a7ca4abd86c1146d33f34e81, https://www.notion.so/91abeab8e5dd488e84f58088e7586393",karissa-mckelvey,Bringing the Offline Online: Reviewing the Developer Experience of Awala (https://www.notion.so/Bringing-the-Offline-Online-Reviewing-the-Developer-Experience-of-Awala-09e8d786d0a34da485967e52cae5a881?pvs=21),,Publish,"September 30, 2021 → November 16, 2021",,Karissa McKelvey  (https://www.notion.so/Karissa-McKelvey-8506525efe0f4d6a8a49b9b9e3e7f6c6?pvs=21),,
SOAR IIFFF: OTF Application Platform,,,,"https://www.notion.so/28f8bc4863f647dda8886b6a1698c0fb, https://www.notion.so/3420d613e1304e67a2f4b8dd8c98005d",No,"Check dates - are they? @November 5, 2019 → May 21, 2021",,SOAR IIFFF Output Files (https://www.notion.so/SOAR-IIFFF-Output-Files-f9dfa5e6cc394e5d8660c5b4e50211ee?pvs=21),https://docs.google.com/spreadsheets/d/1sXrOHbbNQaBq_CQoAVCssQGZ_6urLq6F544xi8UWIRo/edit#gid=0,OTF Usability Lab 1 | SOAR IIFFF: OTF Application Platform (https://www.notion.so/OTF-Usability-Lab-1-SOAR-IIFFF-OTF-Application-Platform-23c72e0a50344b09a287dea93b093bc7?pvs=21),"OTF seeks to improve the funding application process, as the current tools and processes are increasingly becoming barriers for OTF, limiting their ability to process incoming applications and approve projects. To better understand this experience, we leveraged human-centered design methods to evaluate the current process and tools, and design a new application experience.",,https://www.notion.so/00f814e7e6cf4ad0ab237f8bb3b0f417,complete,,"eileen-wagner,georgia-bullen,ngọc-triệu,ame-elliott",,,Publish,"November 5, 2019 → May 21, 2021",,"Eileen Wagner (https://www.notion.so/Eileen-Wagner-921112e822a74d7b99b7b81d82a5d40c?pvs=21), Georgia Bullen (https://www.notion.so/Georgia-Bullen-bcb6dbebf05e4b56bd023decec5af79d?pvs=21), ngọc triệu (https://www.notion.so/ng-c-tri-u-6ba0a27153c64c288cf4ad6b1d7005dd?pvs=21), Ame Elliott (https://www.notion.so/Ame-Elliott-11293d3c60b44cf294907c80c1d930a1?pvs=21)",,
People v. Big Tech Website,,,,https://www.notion.so/03322b01dba64c9d91b895e690f107bc,No,"Marked as a Current project but there’s an end date

@Katie Wilson to provide project description",https://peoplevsbig.tech,PVBT Website (https://www.notion.so/PVBT-Website-03d4b7829f604c4aaa9eb2285e0a49aa?pvs=21),"https://peoplevsbig.tech/,https://www.figma.com/design/zQToNwkB6R9tk8Iv90fMzz/PVBT?node-id=4-643&t=NzWyBT4Uj1FhFiJG-1",Reset Tech | People vs Big Tech Website (https://www.notion.so/Reset-Tech-People-vs-Big-Tech-Website-f85cf4c31e1f4e95a700450a08f04703?pvs=21),"https://peoplevsbig.tech/  is an open network of civil society organizations and concerned citizens working together to challenge the power and abuses of Big Tech. The initial focus has been campaigning around the Digital Services Act in the EU. We designed the PvBT website and helped tailor it to user and campaign needs. ",,,complete,,"georgia-bullen,katie-wilson,ngọc-triệu",,,Publish,"September 1, 2021 → March 31, 2022",,"Georgia Bullen (https://www.notion.so/Georgia-Bullen-bcb6dbebf05e4b56bd023decec5af79d?pvs=21), Katie Wilson (https://www.notion.so/Katie-Wilson-e3486d686d2d4b189bc027666bd5f3b9?pvs=21), ngọc triệu (https://www.notion.so/ng-c-tri-u-6ba0a27153c64c288cf4ad6b1d7005dd?pvs=21)",,Katie Wilson
Mozilla Fellows Summit (Work Week),,,,https://www.notion.so/a325e032e0cd4af8932322935cf907ee,No,"Check dates - are they? @February 1, 2020 → March 31, 2020",,Mozilla | Fellows Summit: Rapid Virtual Meeting Prototyping in the Age of a Pandemic & Blog re Virtual Meetings (https://www.notion.so/Mozilla-Fellows-Summit-Rapid-Virtual-Meeting-Prototyping-in-the-Age-of-a-Pandemic-Blog-re-Virtu-037f2a34ff544214b6bdc9558584afe9?pvs=21),"https://foundation.mozilla.org/en/blog/rapid-virtual-meeting-prototyping-age-pandemic/,https://simplysecure.org/blog/virtual-meetings/",Mozilla Foundation | Fellows Summit (Work Week) (https://www.notion.so/Mozilla-Foundation-Fellows-Summit-Work-Week-41a443d823a0437f84a77d2bebe80bc6?pvs=21),"Simply Secure supported The Mozilla Foundation’s Fellows Work week with facilitation and program design, leveraging the services described above to support fellows with their projects during the work week

Rapidly pivoting from an in-person event to a multi-day online event in the early days of the pandemic. Supporting 25 fellows in learning about each other, their work, and the fellowship program. Piloting online events.",,,complete,"https://www.notion.so/02634a1cef8e4d6e82b476fd374fae4b, https://www.notion.so/3ad7b6c3cabc44bd958be8a3051f7fe4, https://www.notion.so/4f8c223b4db64ec1a480a91fd41d1bae","georgia-bullen,ame-elliott",,,Publish,"February 5, 2020 → March 19, 2020",,"Georgia Bullen (https://www.notion.so/Georgia-Bullen-bcb6dbebf05e4b56bd023decec5af79d?pvs=21), Ame Elliott (https://www.notion.so/Ame-Elliott-11293d3c60b44cf294907c80c1d930a1?pvs=21)",,
Dana,,,,"https://www.notion.so/041024dbe7a342f6a08efaac65435d80, https://www.notion.so/09106e94d12f43349b15832853e455b9, https://www.notion.so/0d08cb4334d64f228b443834ac265141, https://www.notion.so/1bfe9bd4f5824211aad20d9341e3cc84, https://www.notion.so/1c087bd1a6004d8285551caa426be45f, https://www.notion.so/3a75da6c11ff4c71bb06f5e4e0fbd586, https://www.notion.so/c00474946c2e4017994f4494ae37c9df, https://www.notion.so/cc8c2a67399345d8b30616f4c76e5e85",No,"@Georgia Bullen is there a project page for this?  Unable to check / add any of this info. @April 1, 2022 pending Cade re dates and partners/FLs.

*Update: Cade tells me all NDC projects are listed under the NDC project.  How to categorise/split out projects - create sub-projects?

Add funders (unable to add as there’s no card):
Funders tricky, right now its

- Ink & Switch (digital identity)
- Protocol Labs & Webrecorder through the digital archiving work
- PEN International",,The New Design Congress Website (https://www.notion.so/The-New-Design-Congress-Website-c4fa2d0764c04687b578a83fae4726e7?pvs=21),https://newdesigncongress.org,The New Design Congress (https://www.notion.so/The-New-Design-Congress-c1d671d64d5b487695f9852ff08aba07?pvs=21),"A research group developing a nuanced understanding of technology's role as a social, political and environmental accelerant. https://newdesigncongress.org",,,FSP,"https://www.notion.so/12e16b0f6b444caaaa71beddca507b80, https://www.notion.so/871f6f229d81475d94e36918377c129e, https://www.notion.so/91abeab8e5dd488e84f58088e7586393, https://www.notion.so/9654bbebc8664899b8b3ca26111d7452, https://www.notion.so/a0ac61a64b554cbda1900d4fa6a574f5","cade-diehm,elys-jones,benjamin-royer,georgia-bullen,aaron-brunmeier,philliph-drummond",,,Publish,,,"Cade Diehm (https://www.notion.so/Cade-Diehm-e9fc196bad464125b31385a502269719?pvs=21), Elys (https://www.notion.so/Elys-908d07ad460f4ed0942cac4e447df740?pvs=21), Benjamin Royer (https://www.notion.so/Benjamin-Royer-34226c0905064a118e1c494c26e29d2b?pvs=21), Georgia Bullen (https://www.notion.so/Georgia-Bullen-bcb6dbebf05e4b56bd023decec5af79d?pvs=21), Aaron Brunmeier (https://www.notion.so/Aaron-Brunmeier-4799b5ed89474273b3614c003782a3ed?pvs=21), Philliph Drummond (https://www.notion.so/Philliph-Drummond-cadf4ff6dc1347308cdff46e33d7e9dc?pvs=21)",,
Mailvelope,,,,"https://www.notion.so/c609bfd13f9b4e40b3c2b2e61d7ccbd0,https://www.notion.so/c2a6ff750d54475a919294818dc82b08",No,Marked as a Current project but there’s an end date,,,,"Internews UX Fund | Mailvelope 1 (https://www.notion.so/Internews-UX-Fund-Mailvelope-1-470559e116ef4ace9a358bb087d6e843?pvs=21), Mailvelope | Mailvelope 2 (https://www.notion.so/Mailvelope-Mailvelope-2-d3aa0a04cdb54220958a798acd4399ed?pvs=21)","We worked with Mailvelope to improve the browser extension’s usability namely organization-wide keys and key rotation,We worked with Mailvelope to enhance the experience of the Mailvelope tutorial by making it faster to find the applicable information, whether a business user (paid) or community user (free). We also paid particular attention to the Mailvelope Business use case in order to improve the paid product that sustains Mailvelope. 

We also investigated the Mailvelope uninstall rate to understand whether it was significant and its root cause.",,,"complete,complete","https://www.notion.so/3ad7b6c3cabc44bd958be8a3051f7fe4, https://www.notion.so/6b980d40189d48c68622dbd69c6a42c5","kelsey-smith,molly-wilson,georgia-bullen,eileen-wagner",,,Publish,"July 22, 2021 → September 30, 2021,January 3, 2022 → April 30, 2022",,"Kelsey Smith (https://www.notion.so/Kelsey-Smith-d374a3509f184ae8beaa75ecaba2f6e1?pvs=21), Molly Wilson (https://www.notion.so/Molly-Wilson-4b79f4a65a504622a39ff40ff7f33782?pvs=21), Georgia Bullen (https://www.notion.so/Georgia-Bullen-bcb6dbebf05e4b56bd023decec5af79d?pvs=21), Eileen Wagner (https://www.notion.so/Eileen-Wagner-921112e822a74d7b99b7b81d82a5d40c?pvs=21)",,
Orbot,,,,"https://www.notion.so/3623745bf1ea4624b0dcb09e6ab1c657, https://www.notion.so/c8c0e95fa07043c2b0c53b90705a5148",No,,https://guardianproject.info/apps/org.torproject.android/,,,Okthanks & Guardian Project | Orbot (https://www.notion.so/Okthanks-Guardian-Project-Orbot-eef69bdd993f4b67a2644b0de6f0b612?pvs=21),In collaboration with Okthanks.  The objective of this work is to enhance the experience of using Tor bridges in Orbot and Onion Browser.,,https://www.notion.so/3623745bf1ea4624b0dcb09e6ab1c657,complete,https://www.notion.so/3ad7b6c3cabc44bd958be8a3051f7fe4,kelsey-smith,,,Publish,"February 1, 2022 → July 31, 2022",,Kelsey Smith (https://www.notion.so/Kelsey-Smith-d374a3509f184ae8beaa75ecaba2f6e1?pvs=21),,
Mobile Surveillance Monitor,,,,"https://www.notion.so/3420d613e1304e67a2f4b8dd8c98005d, https://www.notion.so/918194412d0348c1accc8aae31f10d6c",No,"Check dates. Are they @January 1, 2022 → August 31, 2022 ",,Mobile Surveillance Monitor Website (https://www.notion.so/Mobile-Surveillance-Monitor-Website-ce6d9d42e2e54fddbcbae2c0071b7fcd?pvs=21),"https://docs.google.com/document/d/1cZWzkg3upgrzZRvZDJIG7Kolt3fHRlnzNrTgEenedhk/edit,https://www.figma.com/design/xFuYo19Fj4EBgqcIkgUp5D/ESRi-UI?t=fKSind3BmlYYxfnb-0,surveillancemonitor.org",OTF SUA Lab 2 | T-001 | MSM Dashboard and Website Design (https://www.notion.so/OTF-SUA-Lab-2-T-001-MSM-Dashboard-and-Website-Design-86fde8ca0eb748039170e3097ec45d01?pvs=21),"MSM is a new web-based application that allows users to access multi-source threat intelligence data on mobile and network surveillance through an interactive map-based dashboard, detailed subscription-based threat reports, and opt-in threat alerts. We were able to plan and execute a broad, inclusive, human-centered design approach to the project, which prioritized secure research practices, and completed a phased research and design process.",,https://www.notion.so/918194412d0348c1accc8aae31f10d6c,complete,"https://www.notion.so/0ab377ff8fde419c926610bce8510942, https://www.notion.so/15e2c9d1335e4efdb26e2bdd78f29496, https://www.notion.so/3ad7b6c3cabc44bd958be8a3051f7fe4","eriol-fox,katie-wilson,susan-kennedy",,,Publish,"February 1, 2022 → April 30, 2022",,"Eriol Fox (https://www.notion.so/Eriol-Fox-f04c9b40e6ff4e628dcb68120bc03ae9?pvs=21), Katie Wilson (https://www.notion.so/Katie-Wilson-e3486d686d2d4b189bc027666bd5f3b9?pvs=21), Susan Kennedy (https://www.notion.so/Susan-Kennedy-f196be37d0c346008a09170099db006a?pvs=21)",,
http://Rightswise.vc,,,,https://www.notion.so/03322b01dba64c9d91b895e690f107bc,No,,,,,Reset Tech | Rightswise.vc (https://www.notion.so/Reset-Tech-Rightswise-vc-cdb3438f57d74b04b3c95b64ea783b4b?pvs=21),,,,complete,,"georgia-bullen,katie-wilson,ngọc-triệu,ame-elliott",,,Publish,"February 1, 2022 → April 1, 2022",,"Georgia Bullen (https://www.notion.so/Georgia-Bullen-bcb6dbebf05e4b56bd023decec5af79d?pvs=21), Katie Wilson (https://www.notion.so/Katie-Wilson-e3486d686d2d4b189bc027666bd5f3b9?pvs=21), ngọc triệu (https://www.notion.so/ng-c-tri-u-6ba0a27153c64c288cf4ad6b1d7005dd?pvs=21), Ame Elliott (https://www.notion.so/Ame-Elliott-11293d3c60b44cf294907c80c1d930a1?pvs=21)",,
Atlantic Council,,,,https://www.notion.so/fe23fa1723bf4a4097b8e8fedb5fde51,No,"NP ADD INFO ",,,,Atlantic Council | Digital Forensic Research Lab (DFRLab) Retreat Facilitation (https://www.notion.so/Atlantic-Council-Digital-Forensic-Research-Lab-DFRLab-Retreat-Facilitation-9c7cfcbf66b44b6b8bde37be6477f98c?pvs=21),,,,complete,,"eriol-fox,susan-kennedy,katie-wilson,georgia-bullen",,,Publish,"April 15, 2022 → February 15, 2023",Atlantic Council,"Eriol Fox (https://www.notion.so/Eriol-Fox-f04c9b40e6ff4e628dcb68120bc03ae9?pvs=21), Susan Kennedy (https://www.notion.so/Susan-Kennedy-f196be37d0c346008a09170099db006a?pvs=21), Katie Wilson (https://www.notion.so/Katie-Wilson-e3486d686d2d4b189bc027666bd5f3b9?pvs=21), Georgia Bullen (https://www.notion.so/Georgia-Bullen-bcb6dbebf05e4b56bd023decec5af79d?pvs=21)",,
Defining Transparency,,,,https://www.notion.so/2c6ba1aa6b634c9caed40bd8682be979,No,NP ADD INFO,,,,NCoC | Defining Transparency (https://www.notion.so/NCoC-Defining-Transparency-cbcb79f1b575435b9683780b0b8d1da9?pvs=21),,,,paused,,"georgia-bullen,susan-kennedy,katie-wilson",,,Do Not Publish,,,"Georgia Bullen (https://www.notion.so/Georgia-Bullen-bcb6dbebf05e4b56bd023decec5af79d?pvs=21), Susan Kennedy (https://www.notion.so/Susan-Kennedy-f196be37d0c346008a09170099db006a?pvs=21), Katie Wilson (https://www.notion.so/Katie-Wilson-e3486d686d2d4b189bc027666bd5f3b9?pvs=21)",,
FFWD,,,,"https://www.notion.so/03804945b98240f7992fcb992a57253f, https://www.notion.so/4386f8fc06a14f16a46d62826fcec5d0",No,NP ADD INFO,,,,Okta for Good | FFWD Project Hub 2022-2024 (https://www.notion.so/Okta-for-Good-FFWD-Project-Hub-2022-2024-af86f0c792c34161afd5dd9c82717fef?pvs=21),Partnering with FFWD’s incubator program to provide design & UX support to 3-5 projects.,,,complete,https://www.notion.so/02634a1cef8e4d6e82b476fd374fae4b,"georgia-bullen,ngọc-triệu,susan-kennedy,philliph-drummond,abhishek-sharma",,,Publish,"April 12, 2022 → December 31, 2024",FFWD,"Georgia Bullen (https://www.notion.so/Georgia-Bullen-bcb6dbebf05e4b56bd023decec5af79d?pvs=21), ngọc triệu (https://www.notion.so/ng-c-tri-u-6ba0a27153c64c288cf4ad6b1d7005dd?pvs=21), Susan Kennedy (https://www.notion.so/Susan-Kennedy-f196be37d0c346008a09170099db006a?pvs=21), Philliph Drummond (https://www.notion.so/Philliph-Drummond-cadf4ff6dc1347308cdff46e33d7e9dc?pvs=21), Abhishek Sharma (https://www.notion.so/Abhishek-Sharma-bd149c3d7b6247aeaeed59d6fe34d797?pvs=21)",,
CENO,,,,"https://www.notion.so/8d431ef3e0df4b36b4c90ba4e4da8ba3, https://www.notion.so/e8c4751bbbf641bc81c7e92d1cab627e",No,NP ADD INFO,https://censorship.no/en/index.html,,,IRI | Ceno (https://www.notion.so/IRI-Ceno-6436209d93c949a79069ef146cd0268d?pvs=21),,,,complete,https://www.notion.so/02634a1cef8e4d6e82b476fd374fae4b,"ngọc-triệu,philliph-drummond,georgia-bullen,veszna-wessenauer,abhishek-sharma,aaron-brunmeier",,,Publish,"January 1, 2023 → December 31, 2023",CENO,"ngọc triệu (https://www.notion.so/ng-c-tri-u-6ba0a27153c64c288cf4ad6b1d7005dd?pvs=21), Philliph Drummond (https://www.notion.so/Philliph-Drummond-cadf4ff6dc1347308cdff46e33d7e9dc?pvs=21), Georgia Bullen (https://www.notion.so/Georgia-Bullen-bcb6dbebf05e4b56bd023decec5af79d?pvs=21), Veszna Wessenauer (https://www.notion.so/Veszna-Wessenauer-86f9b377595f403e97fe9ce95f692706?pvs=21), Abhishek Sharma (https://www.notion.so/Abhishek-Sharma-bd149c3d7b6247aeaeed59d6fe34d797?pvs=21), Aaron Brunmeier (https://www.notion.so/Aaron-Brunmeier-4799b5ed89474273b3614c003782a3ed?pvs=21)",,
Evidence Gathering Summit (EGS),,,,https://www.notion.so/03322b01dba64c9d91b895e690f107bc,No,NP ADD INFO,,,,Reset Tech | Evidence Gathering Summit DC (https://www.notion.so/Reset-Tech-Evidence-Gathering-Summit-DC-f41351f21fad4e42826389a7754c6c95?pvs=21),,,,complete,"https://www.notion.so/4f8c223b4db64ec1a480a91fd41d1bae, https://www.notion.so/6b980d40189d48c68622dbd69c6a42c5","susan-kennedy,katie-wilson,georgia-bullen",,,Publish,"July 6, 2022 → August 31, 2022",EvidenceGatheringSummit,"Susan Kennedy (https://www.notion.so/Susan-Kennedy-f196be37d0c346008a09170099db006a?pvs=21), Katie Wilson (https://www.notion.so/Katie-Wilson-e3486d686d2d4b189bc027666bd5f3b9?pvs=21), Georgia Bullen (https://www.notion.so/Georgia-Bullen-bcb6dbebf05e4b56bd023decec5af79d?pvs=21)",,
Human Rights Design Community,,,,"https://www.notion.so/6819dee24e4e40bfb3b26555e3ca9aaf, https://www.notion.so/a49242390c1b4a668a185cd7d269ee90",No,NP TO ADD INFO,,,,Human Rights Centered Design Community (https://www.notion.so/Human-Rights-Centered-Design-Community-a5630bdddc7f42c6a5ebb0dd97632739?pvs=21),,,,ongoing/LTA,,"eriol-fox,georgia-bullen",,,Publish,"January 1, 2019 → January 1, 2030",,"Eriol Fox (https://www.notion.so/Eriol-Fox-f04c9b40e6ff4e628dcb68120bc03ae9?pvs=21), Georgia Bullen (https://www.notion.so/Georgia-Bullen-bcb6dbebf05e4b56bd023decec5af79d?pvs=21)",,
MSM,,,,https://www.notion.so/20d0e5a254a34e61b6e56a27cd10fa6a,No,NP TO ADD INFO,,,,OTF LL 1  | T-1 | MSM Coaching and Communications Toolkit (https://www.notion.so/OTF-LL-1-T-1-MSM-Coaching-and-Communications-Toolkit-023eed0737504f24b96a2be1c0f62234?pvs=21),,,,complete,,georgia-bullen,,,Publish,"October 26, 2022 → June 30, 2023",MSM,Georgia Bullen (https://www.notion.so/Georgia-Bullen-bcb6dbebf05e4b56bd023decec5af79d?pvs=21),,
OCEAN,,,,"https://www.notion.so/240a03fa22f1441d81bf17a080c4b8fd, https://www.notion.so/835ccd6d5c43448e935328adae002ed5",No,NP ADD INFO,,,,University of Vermont | OCEAN Diary Studies (https://www.notion.so/University-of-Vermont-OCEAN-Diary-Studies-f089da388dbf4dde8665ed7621d2a065?pvs=21),,,,complete,,eriol-fox,,,Publish,"January 1, 2022 → September 29, 2023",,Eriol Fox (https://www.notion.so/Eriol-Fox-f04c9b40e6ff4e628dcb68120bc03ae9?pvs=21),,
SAVE,,,,"https://www.notion.so/8d431ef3e0df4b36b4c90ba4e4da8ba3, https://www.notion.so/e8c4751bbbf641bc81c7e92d1cab627e",No,NP ADD INFO,https://open-archive.org/save,,,IRI OpenArchive | SAVE (https://www.notion.so/IRI-OpenArchive-SAVE-1cf2932ebb034cb7852b66868266d33e?pvs=21),,,,complete,,"cade-diehm,benjamin-royer",,,Publish,"December 1, 2022 → August 1, 2023",SAVE,"Cade Diehm (https://www.notion.so/Cade-Diehm-e9fc196bad464125b31385a502269719?pvs=21), Benjamin Royer (https://www.notion.so/Benjamin-Royer-34226c0905064a118e1c494c26e29d2b?pvs=21)",,
OTF [Learning Lab] Impacts & Outcomes Visualization,,,,"https://www.notion.so/20d0e5a254a34e61b6e56a27cd10fa6a, https://www.notion.so/6819dee24e4e40bfb3b26555e3ca9aaf",No,NP ADD INFO,https://www.opentech.fund/results/impacts-and-outcomes/,,,OTF LL 1 | T-006 | Impacts & Outcomes Visualization (https://www.notion.so/OTF-LL-1-T-006-Impacts-Outcomes-Visualization-fa0b6a4db67d4be7b4a99359101abc7e?pvs=21),Update of OTF website Impacts and Outcomes page,,https://www.notion.so/6819dee24e4e40bfb3b26555e3ca9aaf,complete,https://www.notion.so/3ad7b6c3cabc44bd958be8a3051f7fe4,"georgia-bullen,eriol-fox,abhishek-sharma",,,Publish,"April 1, 2022 → March 31, 2025",,"Georgia Bullen (https://www.notion.so/Georgia-Bullen-bcb6dbebf05e4b56bd023decec5af79d?pvs=21), Eriol Fox (https://www.notion.so/Eriol-Fox-f04c9b40e6ff4e628dcb68120bc03ae9?pvs=21), Abhishek Sharma (https://www.notion.so/Abhishek-Sharma-bd149c3d7b6247aeaeed59d6fe34d797?pvs=21)",,
OTF Website Design Support,,,,https://www.notion.so/28f8bc4863f647dda8886b6a1698c0fb,No,NP ADD INFO,,,,OTF | Website Redesign Support (https://www.notion.so/OTF-Website-Redesign-Support-9e9dab89eaad47b6bf0f462c8c418369?pvs=21),,,https://www.notion.so/00f814e7e6cf4ad0ab237f8bb3b0f417,complete,,"georgia-bullen,eriol-fox,kelsey-smith",,,Publish,"June 13, 2022 → September 30, 2022",OTF Website Design Support,"Georgia Bullen (https://www.notion.so/Georgia-Bullen-bcb6dbebf05e4b56bd023decec5af79d?pvs=21), Eriol Fox (https://www.notion.so/Eriol-Fox-f04c9b40e6ff4e628dcb68120bc03ae9?pvs=21), Kelsey Smith (https://www.notion.so/Kelsey-Smith-d374a3509f184ae8beaa75ecaba2f6e1?pvs=21)",,
Policy2Pixels - Program,,,,https://www.notion.so/c4b071d0e7be409faa54ffc0731bbe82,No,NP ADD INFO,,,,UC Berkeley | CLTC Policy2Pixels (https://www.notion.so/UC-Berkeley-CLTC-Policy2Pixels-2a6ffdc5a3af444187dbd414d0f637f5?pvs=21),,,,complete,,ame-elliott,,,Publish,"March 1, 2022 → July 31, 2022",,Ame Elliott (https://www.notion.so/Ame-Elliott-11293d3c60b44cf294907c80c1d930a1?pvs=21),,Ame Elliott
Radio Free Europe / Radio Liberty,,,,https://www.notion.so/0016bb1a83c8420090ffce863352b7e5,No,NP ADD INFO,,,,Radio Free Europe / Radio Liberty (RFE/RL) | Mobile Apps UX Research (https://www.notion.so/Radio-Free-Europe-Radio-Liberty-RFE-RL-Mobile-Apps-UX-Research-e80085b1f1364b31b0ad8f6e3e7b5ccc?pvs=21),"RFE/RL’s mission is to promote democratic values and institutions and advance human rights by reporting the news in countries where a free press is banned by the government or not fully established. In 23 countries, RFE/RL journalists provide what many people cannot get locally: uncensored news, responsible discussion, and open debate. RFE’s app relies on infrastructure called Pangea, which has been a part of RFE’s online presence since 1999, with the first mobile apps launched in 2007. Recently, despite spending resources on advertising, RFE has seen usership of their mobile apps decline. This collaboration between Simply Secure and RFE/RL seeks to dig into this drop in usership.",,,complete,,"katie-wilson,veszna-wessenauer",,,Publish,"September 1, 2022 → March 31, 2023",RFE/RL,"Katie Wilson (https://www.notion.so/Katie-Wilson-e3486d686d2d4b189bc027666bd5f3b9?pvs=21), Veszna Wessenauer (https://www.notion.so/Veszna-Wessenauer-86f9b377595f403e97fe9ce95f692706?pvs=21)",,
Shutdown Getdown,,,,https://www.notion.so/3420d613e1304e67a2f4b8dd8c98005d,No,NP ADD INFO,,,,OTF SUA Lab 2 | T-003 | Shutdown Getdown Gathering (https://www.notion.so/OTF-SUA-Lab-2-T-003-Shutdown-Getdown-Gathering-a7cb00aa44674fef93d27351c55ecfde?pvs=21),,,,complete,,"georgia-bullen,ngọc-triệu,eriol-fox",,,Publish,"July 15, 2022 → November 18, 2022",Shutdown Getdown,"Georgia Bullen (https://www.notion.so/Georgia-Bullen-bcb6dbebf05e4b56bd023decec5af79d?pvs=21), ngọc triệu (https://www.notion.so/ng-c-tri-u-6ba0a27153c64c288cf4ad6b1d7005dd?pvs=21), Eriol Fox (https://www.notion.so/Eriol-Fox-f04c9b40e6ff4e628dcb68120bc03ae9?pvs=21)",,
